"코드","종목명","조건만족시간"
"062970","피피아이","2024-01-26 12:40:54"
"094840","슈프리마에이치큐","2024-01-26 12:41:16"
"347770","핌스","2024-01-26 12:41:47"
"419120","산돌","2024-01-26 12:41:50"
"242040","나무기술","2024-01-26 12:42:48"
"056700","신화인터텍","2024-01-26 12:43:52"
"000680","LS네트웍스","2024-01-26 12:44:41"
"142210","유니트론텍","2024-01-26 12:45:54"
"042510","라온시큐어","2024-01-26 12:47:02"
"214270","FSN","2024-01-26 12:47:23"
"043260","성호전자","2024-01-26 12:47:28"
"276040","스코넥","2024-01-26 12:47:31"
"080000","에스엔유","2024-01-26 12:49:32"
"115450","HLB테라퓨틱스","2024-01-26 12:49:40"
"008830","대동기어","2024-01-26 12:49:53"
"337930","브랜드엑스코퍼레이션","2024-01-26 12:50:13"
"307930","컴퍼니케이","2024-01-26 12:50:34"
"290560","신시웨이","2024-01-26 12:52:26"
"024850","HLB이노베이션","2024-01-26 12:55:41"
"290690","소룩스","2024-01-26 12:59:49"
"067630","HLB생명과학","2024-01-26 13:01:31"
"077360","덕산하이메탈","2024-01-26 13:01:48"
"084650","랩지노믹스","2024-01-26 13:01:48"
"278650","HLB바이오스텝","2024-01-26 13:02:59"
"064800","젬백스링크","2024-01-26 13:04:00"
"291230","엔피","2024-01-26 13:04:20"
"012690","모나리자","2024-01-26 13:04:41"
"043590","웰킵스하이텍","2024-01-26 13:04:53"
"078890","가온그룹","2024-01-26 13:05:40"
"205500","액션스퀘어","2024-01-26 13:09:36"
"046210","HLB파나진","2024-01-26 13:09:41"
"013520","화승코퍼레이션","2024-01-26 13:09:48"
"263800","데이타솔루션","2024-01-26 13:09:58"
"377030","맥스트","2024-01-26 13:11:09"
"187270","신화콘텍","2024-01-26 13:13:52"
"014940","오리엔탈정공","2024-01-26 13:14:12"
"271830","팸텍","2024-01-26 13:15:17"
"206560","덱스터","2024-01-26 13:17:47"
"148150","세경하이테크","2024-01-26 13:18:47"
"255220","SG","2024-01-26 13:19:20"
"077500","유니퀘스트","2024-01-26 13:20:16"
"009730","코센","2024-01-26 13:21:28"
"012170","아센디오","2024-01-26 13:25:00"
"067920","이글루","2024-01-26 13:25:22"
"064480","브리지텍","2024-01-26 13:27:53"
"347000","센코","2024-01-26 13:27:54"
"053290","NE능률","2024-01-26 13:29:58"
"411080","샌즈랩","2024-01-26 13:30:53"
"252990","샘씨엔에스","2024-01-26 13:31:36"
"050110","캠시스","2024-01-26 13:32:36"
"130740","티피씨글로벌","2024-01-26 13:35:43"
"067000","조이시티","2024-01-26 13:40:06"
"207760","미스터블루","2024-01-26 13:41:02"
